OBJECTNUMMER;PROJECTNAAM;Clusternaam;Cluster_ID;Gebiednaam;Gebied_ID;Aantal_woningen_max;Typologie;Ingreep;HGS;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"Alfadriehoek";"Haven-Stad";"H";"Haven-Stad 3 - Alfadriehoek-Minervahaven noord";"H3";5205;"Gemengde stadsbuurt";"Transformatie";"Nee";"POLYGON((4.848607 52.40015,4.848905 52.400429,4.858644 52.396083,4.858297 52.395681,4.84495 52.395623,4.845225 52.396205,4.845548 52.396767,4.845906 52.397302,4.846386 52.397928,4.846875 52.3985,4.84744 52.399093,4.848011 52.399638,4.848607 52.40015))";"POLYGON((52.40015 4.848607,52.400429 4.848905,52.396083 4.858644,52.395681 4.858297,52.395623 4.84495,52.396205 4.845225,52.396767 4.845548,52.397302 4.845906,52.397928 4.846386,52.3985 4.846875,52.399093 4.84744,52.399638 4.848011,52.40015 4.848607))";4.851802;52.398019;
2;"Amstel III";"Amstel AMC";"A";"Amstel AMC 3 - Amstel III e.o.";"A3";10556;"Gemengde stadsbuurt";"Transformatie";"Nee";"POLYGON((4.958184 52.299491,4.955216 52.298506,4.955958 52.297572,4.956291 52.2977,4.957099 52.296821,4.951371 52.294808,4.939548 52.307938,4.94312 52.309118,4.947941 52.310766,4.958184 52.299491))";"POLYGON((52.299491 4.958184,52.298506 4.955216,52.297572 4.955958,52.2977 4.956291,52.296821 4.957099,52.294808 4.951371,52.307938 4.939548,52.309118 4.94312,52.310766 4.947941,52.299491 4.958184))";4.948871;52.30278;
3;"Joan Muyskenweg";"Amstel AMC";"A";"Amstel AMC 1 - A2-entree/Amstelkwartier";"A1";1500;"Gemengde stadsbuurt";"Infra aanpassing";"Deels";"POLYGON((4.912067 52.338552,4.91284 52.337407,4.912639 52.337248,4.91339 52.336124,4.913679 52.336205,4.915744 52.333207,4.915159 52.333051,4.91555 52.332493,4.916117 52.332636,4.916919 52.33159,4.914792 52.330942,4.9141 52.330777,4.912502 52.330576,4.912361 52.33182,4.912295 52.331926,4.912227 52.331967,4.912098 52.33202,4.911893 52.332043,4.91189 52.332629,4.912239 52.332791,4.912261 52.332817,4.912137 52.334084,4.911928 52.335441,4.911836 52.335787,4.911655 52.336202,4.911399 52.33661,4.911232 52.336728,4.911118 52.336761,4.910874 52.336792,4.91064 52.336787,4.910432 52.336811,4.910251 52.336871,4.909738 52.337254,4.909403 52.337622,4.909135 52.337544,4.909125 52.337477,4.909157 52.337287,4.909343 52.336709,4.909433 52.336181,4.909431 52.335692,4.909465 52.33548,4.90941 52.335195,4.908233 52.335352,4.907579 52.335787,4.90779 52.336496,4.907861 52.336987,4.908448 52.337675,4.910538 52.338563,4.911107 52.338723,4.911579 52.338778,4.911799 52.338786,4.911951 52.338701,4.912067 52.338552))";"POLYGON((52.338552 4.912067,52.337407 4.91284,52.337248 4.912639,52.336124 4.91339,52.336205 4.913679,52.333207 4.915744,52.333051 4.915159,52.332493 4.91555,52.332636 4.916117,52.33159 4.916919,52.330942 4.914792,52.330777 4.9141,52.330576 4.912502,52.33182 4.912361,52.331926 4.912295,52.331967 4.912227,52.33202 4.912098,52.332043 4.911893,52.332629 4.91189,52.332791 4.912239,52.332817 4.912261,52.334084 4.912137,52.335441 4.911928,52.335787 4.911836,52.336202 4.911655,52.33661 4.911399,52.336728 4.911232,52.336761 4.911118,52.336792 4.910874,52.336787 4.91064,52.336811 4.910432,52.336871 4.910251,52.337254 4.909738,52.337622 4.909403,52.337544 4.909135,52.337477 4.909125,52.337287 4.909157,52.336709 4.909343,52.336181 4.909433,52.335692 4.909431,52.33548 4.909465,52.335195 4.90941,52.335352 4.908233,52.335787 4.907579,52.336496 4.90779,52.336987 4.907861,52.337675 4.908448,52.338563 4.910538,52.338723 4.911107,52.338778 4.911579,52.338786 4.911799,52.338701 4.911951,52.338552 4.912067))";4.912254;52.334674;
4;"IJ-plein";"IJ-oevers";"I";"IJ-oevers 2 - Noordelijke IJ-oevers oost";"I2";550;"Gemengde stadsbuurt";"Verdichting";"Nee";"POLYGON((4.912526 52.380982,4.912503 52.381035,4.917901 52.384893,4.91835 52.385152,4.919314 52.381795,4.912526 52.380982))";"POLYGON((52.380982 4.912526,52.381035 4.912503,52.384893 4.917901,52.385152 4.91835,52.381795 4.919314,52.380982 4.912526))";4.9159135;52.38306;
5;"Bedrijventerrein Osdorp";"Ontwikkelbuurten";"B";"Ontwikkelbuurten 1 - Nieuw-West";"B1";1900;"Groen-blauw wonen";"Transformatie";"Nee";"POLYGON((4.781451 52.360098,4.781812 52.360423,4.782198 52.360694,4.78238 52.360881,4.782871 52.361208,4.783442 52.361528,4.784006 52.361791,4.784704 52.362047,4.785411 52.362274,4.786239 52.362478,4.78734 52.362693,4.788785 52.360039,4.782841 52.358846,4.782541 52.358889,4.780875 52.359552,4.781451 52.360098))";"POLYGON((52.360098 4.781451,52.360423 4.781812,52.360694 4.782198,52.360881 4.78238,52.361208 4.782871,52.361528 4.783442,52.361791 4.784006,52.362047 4.784704,52.362274 4.785411,52.362478 4.786239,52.362693 4.78734,52.360039 4.788785,52.358846 4.782841,52.358889 4.782541,52.359552 4.780875,52.360098 4.781451))";4.784835;52.3607625;
6;"Reimerswaalbuurt";"Ontwikkelbuurten";"B";"Ontwikkelbuurten 1 - Nieuw-West";"B1";380;"Groen-blauw wonen";"Verdichting";"Nee";"POLYGON((4.789292 52.360074,4.787824 52.362788,4.792034 52.363611,4.792544 52.362746,4.791262 52.362482,4.792251 52.360692,4.789292 52.360074))";"POLYGON((52.360074 4.789292,52.362788 4.787824,52.363611 4.792034,52.362746 4.792544,52.362482 4.791262,52.360692 4.792251,52.360074 4.789292))";4.790189;52.3618355;
7;"Rand Piet Wiedijkpark";"Overig";"O";"Overig";"O";550;"Groen-blauw wonen";"Groen-sportpark";"Ja";"POLYGON((4.815553 52.356568,4.816786 52.356801,4.819194 52.352321,4.818163 52.352227,4.817652 52.353263,4.817359 52.353201,4.815553 52.356568))";"POLYGON((52.356568 4.815553,52.356801 4.816786,52.352321 4.819194,52.352227 4.818163,52.353263 4.817652,52.353201 4.817359,52.356568 4.815553))";4.8173785;52.354507;
9;"Tuijnwijck";"Overig";"O";"Overig";"O";200;"Gemengde stadsbuurt";"Verdichting";"Nee";"POLYGON((4.929945 52.359053,4.930724 52.359689,4.930883 52.359764,4.931841 52.360049,4.932439 52.359328,4.932693 52.358939,4.932914 52.35854,4.93052 52.35803,4.929945 52.359053))";"POLYGON((52.359053 4.929945,52.359689 4.930724,52.359764 4.930883,52.360049 4.931841,52.359328 4.932439,52.358939 4.932693,52.35854 4.932914,52.35803 4.93052,52.359053 4.929945))";4.9314345;52.3590325;
10;"Rangeerterrein Science Park";"Overig";"O";"Overig";"O";4000;"Gemengde stadsbuurt";"Infra aanpassing";"Nee";"POLYGON((4.940766 52.357024,4.94244 52.357019,4.943821 52.356933,4.946606 52.355826,4.949512 52.354585,4.950227 52.354218,4.951269 52.354099,4.956631 52.350748,4.960277 52.349097,4.959522 52.348342,4.94923 52.35261,4.940107 52.356526,4.940766 52.357024))";"POLYGON((52.357024 4.940766,52.357019 4.94244,52.356933 4.943821,52.355826 4.946606,52.354585 4.949512,52.354218 4.950227,52.354099 4.951269,52.350748 4.956631,52.349097 4.960277,52.348342 4.959522,52.35261 4.94923,52.356526 4.940107,52.357024 4.940766))";4.950197;52.352676;
11;"Weespertrekvaart zuid";"Amstel AMC";"A";"Amstel AMC 1 - A2-entree/Amstelkwartier";"A1";1200;"Gemengde stadsbuurt";"Transformatie";"Nee";"POLYGON((4.929736 52.338705,4.933074 52.338083,4.938725 52.337093,4.938727 52.336912,4.938687 52.336626,4.9386 52.33644,4.938493 52.336291,4.938376 52.336176,4.938154 52.336019,4.937903 52.335877,4.936924 52.33545,4.936075 52.33515,4.935705 52.335551,4.935137 52.335596,4.934236 52.335562,4.928712 52.336591,4.929736 52.338705))";"POLYGON((52.338705 4.929736,52.338083 4.933074,52.337093 4.938725,52.336912 4.938727,52.336626 4.938687,52.33644 4.9386,52.336291 4.938493,52.336176 4.938376,52.336019 4.938154,52.335877 4.937903,52.33545 4.936924,52.33515 4.936075,52.335551 4.935705,52.335596 4.935137,52.335562 4.934236,52.336591 4.928712,52.338705 4.929736))";4.9337245;52.3369205;
12;"Intratuin Oost";"Overig";"O";"Overig";"O";500;"Gemengde stadsbuurt";"Transformatie";"Nee";"POLYGON((4.925386 52.349712,4.927803 52.348287,4.926894 52.347791,4.92549 52.3487,4.92472 52.34902,4.925386 52.349712))";"POLYGON((52.349712 4.925386,52.348287 4.927803,52.347791 4.926894,52.3487 4.92549,52.34902 4.92472,52.349712 4.925386))";4.9262665;52.3487445;
13;"Praxis Amsterdam Oost";"Overig";"O";"Overig";"O";350;"Gemengde stadsbuurt";"Transformatie";"Nee";"POLYGON((4.938777 52.357305,4.93892 52.357496,4.938748 52.357799,4.940028 52.358084,4.940532 52.358169,4.940841 52.358173,4.940885 52.358032,4.940899 52.357784,4.940819 52.3575,4.940632 52.357285,4.940338 52.357016,4.939643 52.357086,4.938777 52.357305))";"POLYGON((52.357305 4.938777,52.357496 4.93892,52.357799 4.938748,52.358084 4.940028,52.358169 4.940532,52.358173 4.940841,52.358032 4.940885,52.357784 4.940899,52.3575 4.940819,52.357285 4.940632,52.357016 4.940338,52.357086 4.939643,52.357305 4.938777))";4.9398285;52.3575875;
14;"Tuinpark Nieuwe levenskracht";"Overig";"O";"Overig";"O";600;"Gemengde stadsbuurt";"Groen-sportpark";"Ja";"POLYGON((4.957625 52.346747,4.953809 52.349105,4.955128 52.349852,4.959016 52.348222,4.957625 52.346747))";"POLYGON((52.346747 4.957625,52.349105 4.953809,52.349852 4.955128,52.348222 4.959016,52.346747 4.957625))";4.9564175;52.3482925;
15;"Amsteldorp";"Overig";"O";"Overig";"O";860;"Gemengde stadsbuurt";"Verdichting";"Nee";"POLYGON((4.91929 52.344628,4.919248 52.344836,4.919272 52.34499,4.919323 52.345102,4.9197 52.345292,4.921454 52.34569,4.925298 52.345716,4.925475 52.345631,4.924504 52.345053,4.924988 52.344753,4.921806 52.342854,4.921343 52.343072,4.921221 52.343071,4.921077 52.343037,4.920914 52.342962,4.920547 52.343124,4.920221 52.3433,4.920046 52.343444,4.919473 52.344078,4.91929 52.344628))";"POLYGON((52.344628 4.91929,52.344836 4.919248,52.34499 4.919272,52.345102 4.919323,52.345292 4.9197,52.34569 4.921454,52.345716 4.925298,52.345631 4.925475,52.345053 4.924504,52.344753 4.924988,52.342854 4.921806,52.343072 4.921343,52.343071 4.921221,52.343037 4.921077,52.342962 4.920914,52.343124 4.920547,52.3433 4.920221,52.343444 4.920046,52.344078 4.919473,52.344628 4.91929))";4.9223665;52.344278;
16;"Wetbuurt Oost";"Overig";"O";"Overig";"O";550;"Gemengde stadsbuurt";"Verdichting";"Nee";"POLYGON((4.930473 52.344029,4.927724 52.342367,4.925652 52.343732,4.927824 52.345034,4.927373 52.345288,4.92791 52.345626,4.930473 52.344029))";"POLYGON((52.344029 4.930473,52.342367 4.927724,52.343732 4.925652,52.345034 4.927824,52.345288 4.927373,52.345626 4.92791,52.344029 4.930473))";4.9280675;52.3439895;
17;"Bedrijventerrein Veelaan";"IJ-oevers";"I";"IJ-oevers 3 - Oostelijke Binnenstad";"I3";1200;"Gemengde stadsbuurt";"Transformatie";"Nee";"POLYGON((4.939337 52.368508,4.939291 52.367391,4.934075 52.367354,4.933965 52.368464,4.939337 52.368508))";"POLYGON((52.368508 4.939337,52.367391 4.939291,52.367354 4.934075,52.368464 4.933965,52.368508 4.939337))";4.936656;52.367924;
18;"Volkstuinen de 5 Slagen";"Overig";"O";"Overig";"O";1600;"Groen-blauw wonen";"Groen-sportpark";"Ja";"POLYGON((4.961843 52.287827,4.961574 52.288302,4.961193 52.288878,4.961524 52.289002,4.962114 52.289277,4.964292 52.290002,4.965806 52.290542,4.966834 52.289407,4.961843 52.287827))";"POLYGON((52.287827 4.961843,52.288302 4.961574,52.288878 4.961193,52.289002 4.961524,52.289277 4.962114,52.290002 4.964292,52.290542 4.965806,52.289407 4.966834,52.287827 4.961843))";4.9640185;52.2891775;
19;"Gein";"Ontwikkelbuurten";"B";"Ontwikkelbuurten 2 - Zuidoost";"B2";1000;"Gemengde stadsbuurt";"Transformatie";"Nee";"POLYGON((4.989271 52.296467,4.991294 52.296455,4.991292 52.295713,4.989261 52.295691,4.988589 52.293259,4.988395 52.293122,4.988185 52.293008,4.987823 52.292926,4.987314 52.292898,4.987334 52.295861,4.983349 52.295829,4.983346 52.29621,4.98211 52.29621,4.982178 52.296589,4.982565 52.297047,4.982598 52.298137,4.984304 52.298147,4.984298 52.298015,4.987211 52.29802,4.987211 52.298353,4.989231 52.298349,4.989271 52.296467))";"POLYGON((52.296467 4.989271,52.296455 4.991294,52.295713 4.991292,52.295691 4.989261,52.293259 4.988589,52.293122 4.988395,52.293008 4.988185,52.292926 4.987823,52.292898 4.987314,52.295861 4.987334,52.295829 4.983349,52.29621 4.983346,52.29621 4.98211,52.296589 4.982178,52.297047 4.982565,52.298137 4.982598,52.298147 4.984304,52.298015 4.984298,52.29802 4.987211,52.298353 4.987211,52.298349 4.989231,52.296467 4.989271))";4.986707;52.2956185;
20;"Holendrecht";"Ontwikkelbuurten";"B";"Ontwikkelbuurten 2 - Zuidoost";"B2";1000;"Gemengde stadsbuurt";"Verdichting";"Nee";"POLYGON((4.970792 52.30343,4.971028 52.302721,4.972294 52.302254,4.972916 52.301342,4.974233 52.300393,4.97385 52.299605,4.974454 52.299104,4.972839 52.298583,4.971566 52.298338,4.97207 52.297432,4.972711 52.297386,4.973262 52.296798,4.973126 52.296453,4.973355 52.295582,4.967299 52.294711,4.965605 52.294525,4.963955 52.294967,4.961312 52.297525,4.957264 52.30198,4.965793 52.304768,4.968496 52.305708,4.970127 52.304289,4.970792 52.30343))";"POLYGON((52.30343 4.970792,52.302721 4.971028,52.302254 4.972294,52.301342 4.972916,52.300393 4.974233,52.299605 4.97385,52.299104 4.974454,52.298583 4.972839,52.298338 4.971566,52.297432 4.97207,52.297386 4.972711,52.296798 4.973262,52.296453 4.973126,52.295582 4.973355,52.294711 4.967299,52.294525 4.965605,52.294967 4.963955,52.297525 4.961312,52.30198 4.957264,52.304768 4.965793,52.305708 4.968496,52.304289 4.970127,52.30343 4.970792))";4.965864;52.3001095;
21;"H-buurt";"Ontwikkelbuurten";"B";"Ontwikkelbuurten 2 - Zuidoost";"B2";400;"Gemengde stadsbuurt";"Verdichting";"Nee";"POLYGON((4.948745 52.311173,4.950547 52.31183,4.957469 52.313867,4.961516 52.309471,4.962364 52.309772,4.964756 52.306925,4.955513 52.303841,4.952578 52.306985,4.948745 52.311173))";"POLYGON((52.311173 4.948745,52.31183 4.950547,52.313867 4.957469,52.309471 4.961516,52.309772 4.962364,52.306925 4.964756,52.303841 4.955513,52.306985 4.952578,52.311173 4.948745))";4.9567555;52.308847;
22;"HVA Frailjemaborg";"Ontwikkelbuurten";"B";"Ontwikkelbuurten 2 - Zuidoost";"B2";420;"Gemengde stadsbuurt";"Transformatie";"Nee";"POLYGON((4.945629 52.315456,4.949286 52.316697,4.949866 52.316073,4.946235 52.314842,4.945629 52.315456))";"POLYGON((52.315456 4.945629,52.316697 4.949286,52.316073 4.949866,52.314842 4.946235,52.315456 4.945629))";4.9477525;52.3157625;
23;"Zorginstituut Nederland";"Ontwikkelbuurten";"B";"Ontwikkelbuurten 2 - Zuidoost";"B2";1400;"Groen-blauw wonen";"Groen-sportpark";"Ja";"POLYGON((4.977562 52.330568,4.980642 52.329271,4.975121 52.326694,4.973553 52.328007,4.977562 52.330568))";"POLYGON((52.330568 4.977562,52.329271 4.980642,52.326694 4.975121,52.328007 4.973553,52.330568 4.977562))";4.9771025;52.328624;
24;"Venserpolder";"Ontwikkelbuurten";"B";"Ontwikkelbuurten 2 - Zuidoost";"B2";300;"Gemengde stadsbuurt";"Verdichting";"Nee";"POLYGON((4.944549 52.316111,4.940694 52.3205,4.940471 52.32077,4.940291 52.321033,4.94015 52.32129,4.940047 52.32154,4.939939 52.322019,4.939943 52.322466,4.939979 52.322674,4.940073 52.322974,4.940298 52.323421,4.940577 52.323797,4.940917 52.324148,4.941326 52.324473,4.948585 52.32703,4.950777 52.32459,4.944555 52.322435,4.947574 52.318959,4.944901 52.318025,4.946122 52.316655,4.944549 52.316111))";"POLYGON((52.316111 4.944549,52.3205 4.940694,52.32077 4.940471,52.321033 4.940291,52.32129 4.94015,52.32154 4.940047,52.322019 4.939939,52.322466 4.939943,52.322674 4.939979,52.322974 4.940073,52.323421 4.940298,52.323797 4.940577,52.324148 4.940917,52.324473 4.941326,52.32703 4.948585,52.32459 4.950777,52.322435 4.944555,52.318959 4.947574,52.318025 4.944901,52.316655 4.946122,52.316111 4.944549))";4.945363;52.3215635;
25;"Roomtuintjes";"Overig";"O";"Overig";"O";170;"Gemengde stadsbuurt";"Verdichting";"Nee";"POLYGON((4.930011 52.364475,4.929187 52.36493,4.927085 52.365658,4.927092 52.365793,4.931125 52.365921,4.930934 52.365664,4.93083 52.365435,4.930627 52.364824,4.930592 52.364594,4.930011 52.364475))";"POLYGON((52.364475 4.930011,52.36493 4.929187,52.365658 4.927085,52.365793 4.927092,52.365921 4.931125,52.365664 4.930934,52.365435 4.93083,52.364824 4.930627,52.364594 4.930592,52.364475 4.930011))";4.92911;52.365191;
26;"Gooiseweg Zuidoost";"Overig";"O";"Overig";"O";3000;"Gemengde stadsbuurt";"Infra aanpassing";"Nee";"POLYGON((4.953042 52.328985,4.956691 52.325909,4.957843 52.325689,4.958866 52.324495,4.957541 52.323999,4.959973 52.321556,4.964343 52.317219,4.962623 52.316599,4.960192 52.319393,4.956996 52.322868,4.956311 52.322642,4.954661 52.324464,4.955158 52.325224,4.952054 52.328654,4.953042 52.328985))";"POLYGON((52.328985 4.953042,52.325909 4.956691,52.325689 4.957843,52.324495 4.958866,52.323999 4.957541,52.321556 4.959973,52.317219 4.964343,52.316599 4.962623,52.319393 4.960192,52.322868 4.956996,52.322642 4.956311,52.324464 4.954661,52.325224 4.955158,52.328654 4.952054,52.328985 4.953042))";4.9582035;52.322785;
27;"Molenwijk";"Ontwikkelbuurten";"B";"Ontwikkelbuurten 3 - Noord";"B3";150;"Groen-blauw wonen";"Verdichting";"Nee";"POLYGON((4.886199 52.417548,4.885218 52.41883,4.883787 52.420893,4.886684 52.421388,4.889024 52.421624,4.890146 52.421609,4.890359 52.421581,4.890639 52.421471,4.891409 52.420517,4.891617 52.420206,4.891879 52.420269,4.893235 52.419101,4.892935 52.418974,4.893393 52.418452,4.893708 52.418544,4.894543 52.417529,4.894513 52.416727,4.892188 52.416448,4.888551 52.41595,4.887554 52.416052,4.886933 52.416468,4.886199 52.417548))";"POLYGON((52.417548 4.886199,52.41883 4.885218,52.420893 4.883787,52.421388 4.886684,52.421624 4.889024,52.421609 4.890146,52.421581 4.890359,52.421471 4.890639,52.420517 4.891409,52.420206 4.891617,52.420269 4.891879,52.419101 4.893235,52.418974 4.892935,52.418452 4.893393,52.418544 4.893708,52.417529 4.894543,52.416727 4.894513,52.416448 4.892188,52.41595 4.888551,52.416052 4.887554,52.416468 4.886933,52.417548 4.886199))";4.88917;52.41878;
28;"Plan van Gool (Zuidwest hoek)";"Ontwikkelbuurten";"B";"Ontwikkelbuurten 3 - Noord";"B3";60;"Gemengde stadsbuurt";"Verdichting";"Nee";"POLYGON((4.930614 52.396841,4.933485 52.399117,4.93359 52.399139,4.933743 52.399128,4.934065 52.399,4.933013 52.397979,4.933826 52.397657,4.932262 52.396197,4.930614 52.396841))";"POLYGON((52.396841 4.930614,52.399117 4.933485,52.399139 4.93359,52.399128 4.933743,52.399 4.934065,52.397979 4.933013,52.397657 4.933826,52.396197 4.932262,52.396841 4.930614))";4.9323445;52.397661;
