OBJECTNUMMER;PROJECTNAAM;Clusternaam;Cluster_ID;Gebiednaam;Gebied_ID;Aantal_woningen_max;Typologie;Ingreep;HGS;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
105;"Oranjewerf";"IJ-oevers";"I";"IJ-oevers 2 - Noordelijke IJ-oevers oost";"I2";1000;"Gemengde stadsbuurt";"Transformatie";"Deels";"POLYGON((4.952539 52.38419,4.951327 52.383983,4.950692 52.383963,4.946684 52.38413,4.946603 52.384111,4.945982 52.38411,4.944341 52.384151,4.944329 52.38422,4.944911 52.385598,4.944912 52.38567,4.944818 52.385831,4.944817 52.38587,4.944897 52.38596,4.947103 52.385664,4.947143 52.385831,4.947228 52.38589,4.948459 52.3858,4.950282 52.3858,4.950657 52.385813,4.950853 52.385836,4.951307 52.385961,4.951501 52.385962,4.951675 52.385884,4.952064 52.385977,4.952539 52.38419))";"POLYGON((52.38419 4.952539,52.383983 4.951327,52.383963 4.950692,52.38413 4.946684,52.384111 4.946603,52.38411 4.945982,52.384151 4.944341,52.38422 4.944329,52.385598 4.944911,52.38567 4.944912,52.385831 4.944818,52.38587 4.944817,52.38596 4.944897,52.385664 4.947103,52.385831 4.947143,52.38589 4.947228,52.3858 4.948459,52.3858 4.950282,52.385813 4.950657,52.385836 4.950853,52.385961 4.951307,52.385962 4.951501,52.385884 4.951675,52.385977 4.952064,52.38419 4.952539))";4.948439;52.384963;
108;"Reade - Revalidatiecentrum";"Overig";"O";"Overig";"O";125;"Gemengde stadsbuurt";"Verdichting";"Nee";"POLYGON((4.86765 52.360631,4.867783 52.360405,4.867645 52.360373,4.868049 52.35971,4.867814 52.35965,4.867854 52.359594,4.867529 52.359517,4.867349 52.35982,4.867221 52.359789,4.867126 52.359932,4.866899 52.359886,4.86687 52.359921,4.866739 52.359889,4.866693 52.359952,4.866409 52.359884,4.86637 52.359944,4.866275 52.359922,4.866085 52.360225,4.867467 52.360545,4.867448 52.360585,4.86765 52.360631))";"POLYGON((52.360631 4.86765,52.360405 4.867783,52.360373 4.867645,52.35971 4.868049,52.35965 4.867814,52.359594 4.867854,52.359517 4.867529,52.35982 4.867349,52.359789 4.867221,52.359932 4.867126,52.359886 4.866899,52.359921 4.86687,52.359889 4.866739,52.359952 4.866693,52.359884 4.866409,52.359944 4.86637,52.359922 4.866275,52.360225 4.866085,52.360545 4.867467,52.360585 4.867448,52.360631 4.86765))";4.867072;52.360067;
109;"De Werf - Cordaan";"IJ-oevers";"I";"IJ-oevers 1 - Noordelijke IJ-oevers west";"I1";1000;"Gemengde stadsbuurt";"Transformatie";"Nee";"POLYGON((4.894452 52.407576,4.89663 52.407242,4.896463 52.40693,4.896257 52.406744,4.895992 52.406659,4.895662 52.406614,4.895308 52.4066,4.894954 52.406651,4.894565 52.406882,4.894401 52.407033,4.894345 52.407153,4.894366 52.407374,4.894452 52.407576))";"POLYGON((52.407576 4.894452,52.407242 4.89663,52.40693 4.896463,52.406744 4.896257,52.406659 4.895992,52.406614 4.895662,52.4066 4.895308,52.406651 4.894954,52.406882 4.894565,52.407033 4.894401,52.407153 4.894345,52.407374 4.894366,52.407576 4.894452))";4.8954925;52.407081;
110;"Entreegebied Gulden Winckel";"Overig";"O";"Overig";"O";600;"Gemengde stadsbuurt";"Verdichting";"Nee";"POLYGON((4.846301 52.383879,4.846787 52.384443,4.846988 52.384377,4.846614 52.383959,4.846664 52.383859,4.846842 52.383776,4.846784 52.383726,4.847084 52.383583,4.847822 52.383321,4.849897 52.38239,4.849909 52.38194,4.845749 52.381883,4.845644 52.381842,4.845236 52.381827,4.845218 52.382921,4.845419 52.384344,4.845707 52.384696,4.845785 52.384709,4.84637 52.384542,4.846278 52.384431,4.846309 52.38442,4.845947 52.38399,4.846301 52.383879),(4.84641 52.383432,4.846023 52.383422,4.846054 52.382876,4.846445 52.382885,4.84641 52.383432))";"POLYGON((52.383879 4.846301,52.384443 4.846787,52.384377 4.846988,52.383959 4.846614,52.383859 4.846664,52.383776 4.846842,52.383726 4.846784,52.383583 4.847084,52.383321 4.847822,52.38239 4.849897,52.38194 4.849909,52.381883 4.845749,52.381842 4.845644,52.381827 4.845236,52.382921 4.845218,52.384344 4.845419,52.384696 4.845707,52.384709 4.845785,52.384542 4.84637,52.384431 4.846278,52.38442 4.846309,52.38399 4.845947,52.383879 4.846301),(52.383432 4.84641,52.383422 4.846023,52.382876 4.846054,52.382885 4.846445,52.383432 4.84641))";4.8475685;52.383261;
112;"Banne Noord";"Ontwikkelbuurten";"B";"Ontwikkelbuurten 3 - Noord";"B3";0;"Groen-blauw wonen";"Verdichting";"Nee";"POLYGON((4.91413 52.41046,4.919697 52.415064,4.920233 52.415306,4.924214 52.41348,4.926762 52.412216,4.929159 52.410928,4.928398 52.410083,4.928205 52.409658,4.927808 52.40929,4.927325 52.409102,4.925362 52.407498,4.924858 52.40666,4.924686 52.405069,4.920716 52.406601,4.915533 52.409174,4.913549 52.41005,4.91413 52.41046))";"POLYGON((52.41046 4.91413,52.415064 4.919697,52.415306 4.920233,52.41348 4.924214,52.412216 4.926762,52.410928 4.929159,52.410083 4.928398,52.409658 4.928205,52.40929 4.927808,52.409102 4.927325,52.407498 4.925362,52.40666 4.924858,52.405069 4.924686,52.406601 4.920716,52.409174 4.915533,52.41005 4.913549,52.41046 4.91413))";4.921359;52.4101805;
115;"Overkoepelende principenota Geuzenveld-Slotermeer";"Ontwikkelbuurten";"B";"Ontwikkelbuurten 1 - Nieuw-West";"B1";4500;"Gemengde stadsbuurt";"Verdichting";"Nee";"POLYGON((4.830111 52.38448,4.839048 52.38467,4.839081 52.38394,4.839038 52.383,4.838877 52.382096,4.835642 52.373293,4.838405 52.37292,4.838249 52.37255,4.833164 52.37329,4.831892 52.37032,4.830594 52.369842,4.827128 52.372239,4.821174 52.368905,4.819307 52.36732,4.817805 52.366507,4.816603 52.366704,4.815403 52.366795,4.812312 52.369416,4.811497 52.37125,4.811626 52.372036,4.79298 52.373942,4.791529 52.375855,4.793387 52.377047,4.793708 52.377029,4.794513 52.379981,4.794207 52.384103,4.799439 52.384043,4.805725 52.384188,4.816207 52.384315,4.818294 52.384181,4.819369 52.384166,4.821689 52.384402,4.830111 52.38448))";"POLYGON((52.38448 4.830111,52.38467 4.839048,52.38394 4.839081,52.383 4.839038,52.382096 4.838877,52.373293 4.835642,52.37292 4.838405,52.37255 4.838249,52.37329 4.833164,52.37032 4.831892,52.369842 4.830594,52.372239 4.827128,52.368905 4.821174,52.36732 4.819307,52.366507 4.817805,52.366704 4.816603,52.366795 4.815403,52.369416 4.812312,52.37125 4.811497,52.372036 4.811626,52.373942 4.79298,52.375855 4.791529,52.377047 4.793387,52.377029 4.793708,52.379981 4.794513,52.384103 4.794207,52.384043 4.799439,52.384188 4.805725,52.384315 4.816207,52.384181 4.818294,52.384166 4.819369,52.384402 4.821689,52.38448 4.830111))";4.81531;52.3755815;
116;"Surinameplein";"Overig";"O";"Overig";"O";200;"Gemengde stadsbuurt";"Verdichting";"Nee";"POLYGON((4.852202 52.357887,4.849104 52.35787,4.849104 52.358244,4.849739 52.358245,4.850064 52.358261,4.850357 52.358304,4.850336 52.358829,4.852847 52.358888,4.853081 52.359025,4.853511 52.359037,4.85394 52.358808,4.853971 52.358501,4.853876 52.358213,4.853403 52.357878,4.853039 52.357792,4.852438 52.357813,4.852202 52.357887))";"POLYGON((52.357887 4.852202,52.35787 4.849104,52.358244 4.849104,52.358245 4.849739,52.358261 4.850064,52.358304 4.850357,52.358829 4.850336,52.358888 4.852847,52.359025 4.853081,52.359037 4.853511,52.358808 4.85394,52.358501 4.853971,52.358213 4.853876,52.357878 4.853403,52.357792 4.853039,52.357813 4.852438,52.357887 4.852202))";4.8515425;52.3584075;
117;"Banne Zuid";"Ontwikkelbuurten";"B";"Ontwikkelbuurten 3 - Noord";"B3";0;"Groen-blauw wonen";"Verdichting";"Nee";"POLYGON((4.913549 52.41005,4.915533 52.409174,4.920716 52.406601,4.924686 52.405069,4.924111 52.403608,4.923557 52.40248,4.922535 52.401037,4.922379 52.400035,4.921897 52.399395,4.920544 52.400141,4.9193 52.400546,4.916918 52.401214,4.914881 52.401489,4.911575 52.402392,4.909644 52.403263,4.907553 52.403957,4.906308 52.404874,4.907295 52.405318,4.90767 52.405234,4.913549 52.41005))";"POLYGON((52.41005 4.913549,52.409174 4.915533,52.406601 4.920716,52.405069 4.924686,52.403608 4.924111,52.40248 4.923557,52.401037 4.922535,52.400035 4.922379,52.399395 4.921897,52.400141 4.920544,52.400546 4.9193,52.401214 4.916918,52.401489 4.914881,52.402392 4.911575,52.403263 4.909644,52.403957 4.907553,52.404874 4.906308,52.405318 4.907295,52.405234 4.90767,52.41005 4.913549))";4.915502;52.4047155;
118;"De kleine wereld";"Ontwikkelbuurten";"B";"Ontwikkelbuurten 3 - Noord";"B3";0;"Gemengde stadsbuurt";"Verdichting";"Nee";"POLYGON((4.936712 52.400618,4.935919 52.401031,4.93977 52.404095,4.941332 52.403396,4.941198 52.403272,4.948912 52.400199,4.947217 52.398697,4.942904 52.399891,4.941015 52.399138,4.939729 52.399342,4.936712 52.400618))";"POLYGON((52.400618 4.936712,52.401031 4.935919,52.404095 4.93977,52.403396 4.941332,52.403272 4.941198,52.400199 4.948912,52.398697 4.947217,52.399891 4.942904,52.399138 4.941015,52.399342 4.939729,52.400618 4.936712))";4.9424205;52.401389;
119;"Waterlandpleinbuurt";"Ontwikkelbuurten";"B";"Ontwikkelbuurten 3 - Noord";"B3";0;"Gemengde stadsbuurt";"Verdichting";"Deels";"POLYGON((4.950929 52.3976,4.953976 52.401611,4.956551 52.400173,4.959814 52.397614,4.962391 52.394851,4.967033 52.390006,4.960091 52.388278,4.954619 52.395819,4.953976 52.396527,4.950929 52.3976))";"POLYGON((52.3976 4.950929,52.401611 4.953976,52.400173 4.956551,52.397614 4.959814,52.394851 4.962391,52.390006 4.967033,52.388278 4.960091,52.395819 4.954619,52.396527 4.953976,52.3976 4.950929))";4.958986;52.3949375;
121;"Ganzenhoef 1";"Overig";"O";"Overig";"O";200;"Gemengde stadsbuurt";"Verdichting";"Nee";"POLYGON((4.973343 52.323704,4.978611 52.325371,4.97933 52.324545,4.974062 52.322872,4.973343 52.323704))";"POLYGON((52.323704 4.973343,52.325371 4.978611,52.324545 4.97933,52.322872 4.974062,52.323704 4.973343))";4.9763415;52.3241145;
122;"Ganzenhoef 3";"Overig";"O";"Overig";"O";50;"Gemengde stadsbuurt";"Verdichting";"Nee";"POLYGON((4.971252 52.321252,4.971649 52.320728,4.970297 52.320335,4.969878 52.320786,4.971252 52.321252))";"POLYGON((52.321252 4.971252,52.320728 4.971649,52.320335 4.970297,52.320786 4.969878,52.321252 4.971252))";4.9707685;52.3207865;
123;"E-buurt 1";"Overig";"O";"Overig";"O";100;"Groen-blauw wonen";"Verdichting";"Nee";"POLYGON((4.966807 52.327556,4.967168 52.327066,4.964959 52.326348,4.959393 52.324441,4.958857 52.325038,4.966807 52.327556))";"POLYGON((52.327556 4.966807,52.327066 4.967168,52.326348 4.964959,52.324441 4.959393,52.325038 4.958857,52.327556 4.966807))";4.9630175;52.3259915;
124;"E-buurt 2";"Overig";"O";"Overig";"O";60;"Gemengde stadsbuurt";"Verdichting";"Nee";"POLYGON((4.960852 52.323963,4.959962 52.323642,4.959393 52.324441,4.96052 52.324802,4.961088 52.324028,4.960852 52.323963))";"POLYGON((52.323963 4.960852,52.323642 4.959962,52.324441 4.959393,52.324802 4.96052,52.324028 4.961088,52.323963 4.960852))";4.9602455;52.324215;
125;"D-buurt overig";"Overig";"O";"Overig";"O";150;"Gemengde stadsbuurt";"Verdichting";"Nee";"POLYGON((4.950707 52.317138,4.9487 52.319347,4.949333 52.319545,4.949711 52.319407,4.951296 52.317493,4.951318 52.317387,4.950707 52.317138))";"POLYGON((52.317138 4.950707,52.319347 4.9487,52.319545 4.949333,52.319407 4.949711,52.317493 4.951296,52.317387 4.951318,52.317138 4.950707))";4.950014;52.3183345;
126;"Parnas";"Overig";"O";"Overig";"O";300;"Gemengde stadsbuurt";"Verdichting";"Nee";"POLYGON((4.868433 52.339454,4.864733 52.339296,4.864496 52.341321,4.86825 52.341499,4.868433 52.339454))";"POLYGON((52.339454 4.868433,52.339296 4.864733,52.341321 4.864496,52.341499 4.86825,52.339454 4.868433))";4.8664695;52.3403905;
127;"KK Ringspoorzone Noord";"Ring West";"R";"Ring West";"R";80;"Gemengde stadsbuurt";"Verdichting";"Nee";"MULTIPOLYGON(((4.840243 52.381995,4.839887 52.382051,4.839927 52.382145,4.839895 52.38272,4.840203 52.382726,4.840243 52.381995)),((4.840072 52.382768,4.840016 52.382768,4.840012 52.382865,4.840068 52.382865,4.840072 52.382768)))";"MULTIPOLYGON(((52.381995 4.840243,52.382051 4.839887,52.382145 4.839927,52.38272 4.839895,52.382726 4.840203,52.381995 4.840243)),((52.382768 4.840072,52.382768 4.840016,52.382865 4.840012,52.382865 4.840068,52.382768 4.840072)))";4.84007;52.382423;
128;"Mercatorpark Oost";"Ring West";"R";"Ring West";"R";250;"Gemengde stadsbuurt";"Verdichting";"Nee";"POLYGON((4.84795 52.369996,4.847277 52.369871,4.846185 52.369731,4.845288 52.369686,4.845317 52.370362,4.845966 52.370334,4.846789 52.370509,4.847038 52.370697,4.84721 52.371296,4.847424 52.371337,4.84795 52.369996))";"POLYGON((52.369996 4.84795,52.369871 4.847277,52.369731 4.846185,52.369686 4.845288,52.370362 4.845317,52.370334 4.845966,52.370509 4.846789,52.370697 4.847038,52.371296 4.84721,52.371337 4.847424,52.369996 4.84795))";4.846624;52.3705045;
129;"Marineterrein";"IJ-oevers";"I";"IJ-oevers 3 - Oostelijke Binnenstad";"I3";1400;"Gemengde stadsbuurt";"Transformatie";"Nee";"POLYGON((4.920902 52.374383,4.917259 52.372086,4.915733 52.371584,4.914962 52.37247,4.915396 52.372652,4.915539 52.372564,4.916614 52.373157,4.915901 52.373581,4.914406 52.373212,4.913268 52.37496,4.91452 52.375835,4.920213 52.374973,4.920028 52.374506,4.920902 52.374383))";"POLYGON((52.374383 4.920902,52.372086 4.917259,52.371584 4.915733,52.37247 4.914962,52.372652 4.915396,52.372564 4.915539,52.373157 4.916614,52.373581 4.915901,52.373212 4.914406,52.37496 4.913268,52.375835 4.91452,52.374973 4.920213,52.374506 4.920028,52.374383 4.920902))";4.91709;52.3737025;
135;"Verdi / Infinity";"Overig";"O";"Overig";"O";70;"Gemengde stadsbuurt";"Verdichting";"Nee";"POLYGON((4.856207 52.337095,4.854452 52.337003,4.854211 52.337041,4.854184 52.337073,4.854173 52.337153,4.854184 52.337186,4.854307 52.337211,4.854328 52.337235,4.854418 52.33725,4.856172 52.337343,4.856207 52.337095))";"POLYGON((52.337095 4.856207,52.337003 4.854452,52.337041 4.854211,52.337073 4.854184,52.337153 4.854173,52.337186 4.854184,52.337211 4.854307,52.337235 4.854328,52.33725 4.854418,52.337343 4.856172,52.337095 4.856207))";4.855195;52.337166;
139;"Amsteloever Amstelborgh";"Overig";"O";"Overig";"O";208;"Gemengde stadsbuurt";"Transformatie";"Nee";"POLYGON((4.913988 52.348055,4.913585 52.347979,4.9136 52.347985,4.91351 52.34813,4.913527 52.348135,4.913486 52.348214,4.913448 52.348217,4.913476 52.348233,4.913467 52.348252,4.913572 52.348273,4.913563 52.34829,4.913789 52.348397,4.913988 52.348055))";"POLYGON((52.348055 4.913988,52.347979 4.913585,52.347985 4.9136,52.34813 4.91351,52.348135 4.913527,52.348214 4.913486,52.348217 4.913448,52.348233 4.913476,52.348252 4.913467,52.348273 4.913572,52.34829 4.913563,52.348397 4.913789,52.348055 4.913988))";4.913723;52.348181;
145;"Amsteloever Van der Kun";"Overig";"O";"Overig";"O";600;"Gemengde stadsbuurt";"Verdichting";"Nee";"POLYGON((4.916532 52.346513,4.914847 52.346189,4.914227 52.34736,4.915032 52.34749,4.915911 52.347604,4.916532 52.346513))";"POLYGON((52.346513 4.916532,52.346189 4.914847,52.34736 4.914227,52.34749 4.915032,52.347604 4.915911,52.346513 4.916532))";4.9153845;52.3468895;
147;"Van Hasseltzone";"IJ-oevers";"I";"IJ-oevers 2 - Noordelijke IJ-oevers oost";"I2";500;"Gemengde stadsbuurt";"Verdichting";"Nee";"POLYGON((4.920156 52.388857,4.918633 52.388177,4.917434 52.387609,4.917412 52.387621,4.915017 52.386544,4.914704 52.386353,4.914198 52.386671,4.915566 52.387427,4.916243 52.387855,4.916171 52.387894,4.918077 52.389202,4.918296 52.38942,4.919673 52.388842,4.919803 52.388911,4.920028 52.388888,4.920156 52.388857))";"POLYGON((52.388857 4.920156,52.388177 4.918633,52.387609 4.917434,52.387621 4.917412,52.386544 4.915017,52.386353 4.914704,52.386671 4.914198,52.387427 4.915566,52.387855 4.916243,52.387894 4.916171,52.389202 4.918077,52.38942 4.918296,52.388842 4.919673,52.388911 4.919803,52.388888 4.920028,52.388857 4.920156))";4.917182;52.3878795;
152;"Jan Evertsen-W GVB";"Ring West";"R";"Ring West";"R";900;"Gemengde stadsbuurt";"Verdichting";"Nee";"POLYGON((4.8354140 52.3702960,4.8372066 52.3700381,4.8378098 52.3715519,4.8361210 52.3718310,4.8354140 52.3702960))";"POLYGON((52.3702960 4.8354140,52.3700381 4.8372066,52.3715519 4.8378098,52.3718310 4.8361210,52.3702960 4.8354140))";4.8366169;52.37092755;
153;"Jan Evertsen-W OLVG";"Ring West";"R";"Ring West";"R";795;"Gemengde stadsbuurt";"Verdichting";"Nee";"POLYGON((4.8413680 52.3696850,4.8413070 52.3718150,4.8405410 52.3719480,4.8398590 52.3703400,4.8396450 52.3696980,4.8405920 52.3696330,4.8413680 52.3696850))";"POLYGON((52.3696850 4.8413680,52.3718150 4.8413070,52.3719480 4.8405410,52.3703400 4.8398590,52.3696980 4.8396450,52.3696330 4.8405920,52.3696850 4.8413680))";4.8405115;52.3707835;
156;"Klaprozenweg Noordoost";"IJ-oevers";"I";"IJ-oevers 1 - Noordelijke IJ-oevers west";"I1";2100;"Gemengde stadsbuurt";"Transformatie";"Deels";"MULTIPOLYGON(((4.9100250 52.3981740,4.9125510 52.3942890,4.9128600 52.3943810,4.9128150 52.3959270,4.9124300 52.3967810,4.9121950 52.3972320,4.9107760 52.3983620)),((4.9096030 52.3995670,4.9101120 52.3997160,4.9107360 52.3992420,4.9112460 52.3993260,4.9112430 52.3996710,4.9130920 52.4000250,4.9129260 52.4006980,4.9110470 52.4003950,4.9101270 52.4004050,4.9095830 52.4004480)))";"MULTIPOLYGON(((52.3981740 4.9100250,52.3942890 4.9125510,52.3943810 4.9128600,52.3959270 4.9128150,52.3967810 4.9124300,52.3972320 4.9121950,52.3983620 4.9107760)),((52.3995670 4.9096030,52.3997160 4.9101120,52.3992420 4.9107360,52.3993260 4.9112460,52.3996710 4.9112430,52.4000250 4.9130920,52.4006980 4.9129260,52.4003950 4.9110470,52.4004050 4.9101270,52.4004480 4.9095830)))";4.9113425;52.3974865;
158;"Baaibuurten west";"Zeeburg-IJburg";"Z";"Zeeburg-IJburg 1 - Zeeburgereiland";"Z1";900;"Gemengde stadsbuurt";"Transformatie";"Deels";"POLYGON((4.9622330 52.3717670,4.9574030 52.3728800,4.9570600 52.3727370,4.9581430 52.3684850,4.9621860 52.3685660,4.9622330 52.3717670))";"POLYGON((52.3717670 4.9622330,52.3728800 4.9574030,52.3727370 4.9570600,52.3684850 4.9581430,52.3685660 4.9621860,52.3717670 4.9622330))";4.9596515;52.3706755;
159;"Hempoint";"Haven-Stad";"H";"Haven-Stad 2 - Hemknoop";"H2";3825;"Gemengde stadsbuurt";"Transformatie";"Deels";"POLYGON((4.8614432 52.3956536,4.8649138 52.3974638,4.8685135 52.3990643,4.8684780 52.3990398,4.8685068 52.3990543,4.8685183 52.3990604,4.8709332 52.3963497,4.8696372 52.3957077,4.8684213 52.3951025,4.8671250 52.3944612,4.8661389 52.3939835,4.8661291 52.3939968,4.8661274 52.3939927,4.8657288 52.3937989,4.8647169 52.3942360,4.8636997 52.3946469,4.8629506 52.3949793,4.8627307 52.3950710))";"POLYGON((52.3956536 4.8614432,52.3974638 4.8649138,52.3990643 4.8685135,52.3990398 4.8684780,52.3990543 4.8685068,52.3990604 4.8685183,52.3963497 4.8709332,52.3957077 4.8696372,52.3951025 4.8684213,52.3944612 4.8671250,52.3939835 4.8661389,52.3939968 4.8661291,52.3939927 4.8661274,52.3937989 4.8657288,52.3942360 4.8647169,52.3946469 4.8636997,52.3949793 4.8629506,52.3950710 4.8627307))";4.8661932;52.3964246;
160;"Baaibuurten Oost";"Zeeburg-IJburg";"Z";"Zeeburg-IJburg 1 - Zeeburgereiland";"Z1";700;"Gemengde stadsbuurt";"Transformatie";"Deels";"POLYGON((4.9627103 52.3717869,4.9692120 52.3686820,4.9625815 52.3685902))";"POLYGON((52.3717869 4.9627103,52.3686820 4.9692120,52.3685902 4.9625815))";4.96590175;52.37018155;
162;"Minervahaven Zuid";"Haven-Stad";"H";"Haven-Stad 3 - Alfadriehoek-Minervahaven noord";"H3";4000;"Gemengde stadsbuurt";"Transformatie";"Nee";"POLYGON((4.8674570 52.3934953,4.8661481 52.3939667,4.8709332 52.3963497,4.8699246 52.3974496,4.8738503 52.3975979,4.8777331 52.3983223,4.8787867 52.3959438,4.8762761 52.3945952,4.8712443 52.3953023))";"POLYGON((52.3934953 4.8674570,52.3939667 4.8661481,52.3963497 4.8709332,52.3974496 4.8699246,52.3975979 4.8738503,52.3983223 4.8777331,52.3959438 4.8787867,52.3945952 4.8762761,52.3953023 4.8712443))";4.8724724;52.3959018;

