OBJECTNUMMER;Naam;Straatnaam;Doelgroep;Aantal_woningen;Status;Termijn_project;Eigenaar_beheerder;Informatie;Webpagina;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
103;"Broederhuis";"Orteliuskade 2A - 4M";"Jongeren";30;"Bestaand";"Permanent";"Stadgenoot";"";"http://www.stadgenoot.nl/werk-in-uitvoering/broederhuis/";"POINT(4.8505762,52.3654524)";"POINT(52.3654524,4.8505762)";4.8505762;52.3654524;
104;"Prins Hendrikkade onderwijsgebouw";"Prins Hendrikkade 189";"Studenten";40;"Plan in ontwikkeling";"Permanent";"Woonstichting De Key";"Zelfstandige studio&#096;s, Planning startbouw 2020";"";"POINT(4.9111731,52.3711783)";"POINT(52.3711783,4.9111731)";4.9111731;52.3711783;
106;"Prins Hendrikkade Foelieblok";"Prins Hendrikkade 189";"Studenten";34;"Plan in ontwikkeling";"Permanent";"Woonstichting De Key";"Kleine zelfstandige studio&#096;s. Planning startbouw 2020";"https://www.dekey.nl/#!content=&contentid1=&contentid2=&PageID=2";"POINT(4.9113901,52.3707663)";"POINT(52.3707663,4.9113901)";4.9113901;52.3707663;
107;"Overhoeks kavel 5";"Docklandsweg 2";"Studenten";180;"Plan in ontwikkeling";"Permanent";"VORM Ontwikkeling B.V.";"Eind vorig jaar heeft de gemeente een tender uitgeschreven voor de ontwikkeling, financiering en realisatie van dit hoogbouwkavel in Overhoeks. Het programma bestaat voor ruim twee derde uit wonen, waarvan een deel studentenhuisvesting. Daarnaast er is ruimte voor niet-woonfuncties zoals kantoren, bedrijven, voorzieningen en ondergronds parkeren.";"https://vorm.nl/b2b/nieuws/2016-04-19/vorm-wint-tender-hoogbouwkavel-overhoeks";"POINT(4.9045641,52.3869483)";"POINT(52.3869483,4.9045641)";4.9045641;52.3869483;
109;"DC van Hall";"Van Hallstraat 286 - 288 / Donker Curtiusstraat 1 - 17";"Studenten";178;"Plan in ontwikkeling";"Permanent";"Woonstichting De Key";"Planning startbouw Q3 2020";"https://www.dekey.nl/#!content=&contentid1=&contentid2=&PageID=4329";"POINT(4.8718588,52.3790518)";"POINT(52.3790518,4.8718588)";4.8718588;52.3790518;
111;"Costa Rica";"Oostelijke handelskade 1";"Jongeren";57;"Bestaand";"Permanent";"Stadgenoot";"Costa Rica is het sluitstuk van de oostelijke Handelskade. Het gebouw bestaat twee delen. Het onderste gedeelte bevat 93 sociale huurwoningen en wordt verhuurd door Stadgenoot (etages 0 t/m 4).  Kunstenaars In het gebouw realiseert Stadgenoot een uniek project: het Ramses Shaffyhuis. Het project richt zich op de combinatie van wonen, werken, ontmoeten en exposeren. Er zijn 36 woningen gereserveerd voor jonge talenten en oude kunstenaars. Op de begane grond komt een sociëteit, waarin de kernpunten creëren, exposeren en ontmoeten bij elkaar komen. ";"http://www.stadgenoot.nl/werk-in-uitvoering/costarica/";"POINT(4.9306672,52.3753172)";"POINT(52.3753172,4.9306672)";4.9306672;52.3753172;
112;"Ottho Heldringstraat";"Ottho Heldringstraat 41";"Jongeren";65;"Bestaand";"Permanent";"De Alliantie";"";"https://www.de-alliantie.nl/";"POINT(4.8332808,52.3477713)";"POINT(52.3477713,4.8332808)";4.8332808;52.3477713;
113;"Startblok Riekerhaven";"Sportcomplex Riekerhaven";"Gemengd";500;"Bestaand";"Tijdelijk";"De Key";"In Startblok Riekerhaven staan 500 jongerenwoningen: 250 voor erkende jonge vluchtelingen (statushouders) en 250 voor werkende jongeren uit de buurt, studenten en net afgestudeerden. Samen vormen de jongeren van diverse afkomst een community waarin ieders eigen inbreng voorop staat. ";"http://www.startblok.amsterdam/";"POINT(4.8379381,52.3436438)";"POINT(52.3436438,4.8379381)";4.8379381;52.3436438;
114;"Django";"Gustav Mahlerlaan 411 - 523";"Studenten";34;"Bestaand";"Permanent";"Prospect bv (samenwerking Eigen Haar, Stadgenoot en Rochdale)";"";"";"POINT(4.8747971,52.3364493)";"POINT(52.3364493,4.8747971)";4.8747971;52.3364493;
115;"Don Bosco";"Osdorpplein";"Jongeren";415;"Plan in ontwikkeling";"Permanent";"ICN/ASR";"Op de Don Boscokavel, aan het Osdorpplein en de Don Boscostraat, ontwikkelen ASR en International Campus 415 vrije sector huurwoningen voor young professionals. Naast woningen komt er 2800m2 aan detailhandel. De bouw start naar verwachting in 2018.";"http://ic-campus.com/";"POINT(4.806609,52.359189)";"POINT(52.359189,4.806609)";4.806609;52.359189;
120;"Particulier initiatief studentenhuisvesting";"Kampina 7-9";"Studenten";8;"Bestaand";"Semipermanent";"Particulier";"";"";"POINT(4.9406798,52.4031302)";"POINT(52.4031302,4.9406798)";4.9406798;52.4031302;
121;"Gare de Nord";"Nieuwe Leeuwarderweg";"Studenten";177;"Plan in ontwikkeling";"Permanent";"De Key/Blauwhoed/AM";"Startbouw Q1 2019";"";"POINT(4.931236,52.4020201)";"POINT(52.4020201,4.931236)";4.931236;52.4020201;
123;"Voormalig SPDC-gebouw / WG-terrein";"Tweede Constantijn Huygensstraat 37";"Jongeren";90;"Plan in ontwikkeling";"Permanent";"Stadgenoot";"";"http://www.stadgenoot.nl/";"POINT(4.8728712,52.3642089)";"POINT(52.3642089,4.8728712)";4.8728712;52.3642089;
124;"Amstel III";"Paasheuvelweg 17";"Gemengd";231;"Plan in ontwikkeling";"Permanent";"Camelot Europe";"Planning startbouw Q 2020";"";"POINT(4.953315,52.2984473)";"POINT(52.2984473,4.953315)";4.953315;52.2984473;
127;"K. Wilhelminaplein 18";"K. Wilhelminaplein 18";"Studenten";154;"Bestaand";"Permanent";"Niet bekend";"";"";"POINT(4.8365209,52.3558203)";"POINT(52.3558203,4.8365209)";4.8365209;52.3558203;
128;"Akerpolderstraat";"Akerpolderstraat";"Studenten";20;"Bestaand";"Permanent";"";"";"";"POINT(4.796674,52.3417822)";"POINT(52.3417822,4.796674)";4.796674;52.3417822;
129;"Voorburgstraat";"Voorburgstraat";"Studenten";153;"Bestaand";"Tijdelijk";"DUWO";"";"https://www.duwo.nl/over-duwo/onze-gebouwen/amsterdam/complex/?dwid=5707&view=1&page=1&cHash=beee3ba6a822873202c9638d06576405";"POINT(4.8449972,52.3489234)";"POINT(52.3489234,4.8449972)";4.8449972;52.3489234;
130;"Poeldijkstraat";"Poeldijkstraat";"Studenten";48;"Bestaand";"Tijdelijk";"DUWO";"";"https://www.duwo.nl/over-duwo/onze-gebouwen/overzicht-gebouwen/informatie/?dwid=5705&cHash=761dae50b64a9309c0e40d35927e02ad";"POINT(4.844836,52.349858)";"POINT(52.349858,4.844836)";4.844836;52.349858;
132;"NoordDok";"Ms Olsfordweg";"Jongeren";309;"Plan in ontwikkeling";"Permanent";"De Key";"- 309 sociale huurwoningen, 1 à  2 kamerwoningen, 30 à 40 m2. - Plint met (commerciële) voorzieningen - Start bouw eind 2017, oplevering 2019.";"";"POINT(4.887891,52.4039313)";"POINT(52.4039313,4.887891)";4.887891;52.4039313;
133;"SET";"Daguerrestraat/Erich Salomonstraat";"Gemengd";141;"Bestaand";"Tijdelijk";"De Alliantie";"Tijdelijke nieuwbouwlocaties voor jongeren, studenten en statushouders. ";"https://set-amsterdam.nl/";"POINT(4.993581,52.3593985)";"POINT(52.3593985,4.993581)";4.993581;52.3593985;
134;"Kruislaan";"Kruislaan";"Gemengd";125;"Plan in ontwikkeling";"Tijdelijk";"Stadgenoot";"`Tijdelijke nieuwbouwlocaties voor jongeren, studenten en statushouders. 125 statushouders 125 studenten/jongeren ";"";"POINT(4.947511,52.3519522)";"POINT(52.3519522,4.947511)";4.947511;52.3519522;
135;"Th. K van Lohuizenlaan";"Th. K van Lohuizenlaan";"Gemengd";81;"Bestaand";"Tijdelijk";"De Alliantie";"Tijdelijke nieuwbouwlocaties voor jongeren, studenten en statushouders. 81 woningen in totaal.";"";"POINT(4.9461701,52.3680922)";"POINT(52.3680922,4.9461701)";4.9461701;52.3680922;
136;"Wormerveerstraat";"Wormerveerstraat 15";"Jongeren";100;"Plan in ontwikkeling";"Permanent";"De Key";"100 woningen voor 50 jongeren tezamen met 50 statushouders. Planning start Q4 2020. ";"";"POINT(4.8763249,52.3894698)";"POINT(52.3894698,4.8763249)";4.8763249;52.3894698;
138;"Hettenheuvelweg 16 / The Libra";"Hettenheuvelweg 16";"Jongeren";10;"Plan in ontwikkeling";"Permanent";"Certitudo";"Woningbouwtransformatie van 46 appartementen, waarvan 10 sociale huur met een huur tot €710 (30 m2). Ontwikkelaar is Certitudo uit Den Bosch, start bouw verwacht in 2019. Ze richten zich op middeldure huurwoningen voor starters, niet op studenten.  ";"";"POINT(4.9448612,52.3038146)";"POINT(52.3038146,4.9448612)";4.9448612;52.3038146;
139;"Crossroads (Kavel O)";"Arlandaweg";"Studenten";144;"Plan in ontwikkeling";"Permanent";"De Key";"144 onzelfstandige studentenwoningen in project Crossroads. Planning startbouw Q3 2020";"";"POINT(4.8365862,52.3866278)";"POINT(52.3866278,4.8365862)";4.8365862;52.3866278;
140;"Kavel J - Wasa Student Village";"Naritaweg";"Studenten";352;"Bestaand";"Tijdelijk";"Porten Development/Camelot";"";"https://nl.cameloteurope.com/nieuws/wasa-student-village-358-studentenwoningen-voor-jongeren-studenten-en-statushouders";"POINT(4.8346975,52.3877698)";"POINT(52.3877698,4.8346975)";4.8346975;52.3877698;
141;"Elzenhagen - Zuid ";"";"Gemengd";540;"Bestaand";"Tijdelijk";"De Key/Eigen Haard";"Tijdelijk project voor jongeren, studenten en statushouders. ";"";"POINT(4.9253561,52.39944)";"POINT(52.39944,4.9253561)";4.9253561;52.39944;
142;"Lieven Fase 1";"Maassluisstraat/Vlaardingenlaan";"Gemengd";219;"Bestaand";"Permanent";"De Key";"175 zelfstandige woningen, 44 hebben gedeelde voorzieningen.";"https://www.dekey.nl/#!PageID=4346&content=&contentid1=&contentid2=";"POINT(4.8370686,52.3473274)";"POINT(52.3473274,4.8370686)";4.8370686;52.3473274;
143;"Lieven Fase 2";"Maassluisstraat";"Studenten";58;"Bestaand";"Permanent";"De Key";"Het Zuidblokterrein, omringd door de Vlaardingenlaan, Maassluistraat, Overschiestraat en Voorburgstraat in Amsterdam Nieuw West wordt de komende jaren een levendig onderdeel van de Delftlandpleinbuurt. De Key bouwt hier circa 1150 woningen voor woonstarters.";"https://www.dekey.nl/#!PageID=4346&content=&contentid1=&contentid2=";"POINT(4.8370364,52.3478124)";"POINT(52.3478124,4.8370364)";4.8370364;52.3478124;
144;"Lieven Fase 3";"Voorburgstraat";"Gemengd";187;"Bestaand";"Permanent";"De Key";"Het Zuidblokterrein, omringd door de Vlaardingenlaan, Maassluistraat, Overschiestraat en Voorburgstraat in Amsterdam Nieuw West wordt de komende jaren een levendig onderdeel van de Delftlandpleinbuurt. De Key bouwt hier circa 1150 woningen voor woonstarters.";"https://www.dekey.nl/#!PageID=4346&content=&contentid1=&contentid2=";"POINT(4.8374655,52.348363)";"POINT(52.348363,4.8374655)";4.8374655;52.348363;
145;"Oudemanhuispoort";"Oudemanhuispoort";"Studenten";80;"Bestaand";"Permanent";"DUWO";"In het universiteitspand Oudemanhuispoort in Amsterdam komen 80 tijdelijke studentenkamers dankzij een samenwerking tussen de Universiteit van Amsterdam (UvA) en DUWO. De laatste zorgt voor de ombouw, de verhuur en het beheer. De kamers zijn bedoeld als bijdrage aan het nijpende kamertekort in de hoofdstad.";"";"POINT(4.8960611,52.3694382)";"POINT(52.3694382,4.8960611)";4.8960611;52.3694382;
146;"Crossover";"";"Gemengd";156;"Plan in ontwikkeling";"Permanent";"AM";"";"https://www.am.nl/referentieprojecten/crossover/";"POINT(4.8942138,52.3366809)";"POINT(52.3366809,4.8942138)";4.8942138;52.3366809;
147;"Urban Interactive District";"";"Gemengd";400;"Plan in ontwikkeling";"Permanent";"AM";"";"https://www.am.nl/referentieprojecten/urban-interactive-district/";"POINT(4.9396614,52.3099909)";"POINT(52.3099909,4.9396614)";4.9396614;52.3099909;
148;"Karmijn (ACTA 2)";"Louwesweg 5";"Gemengd";110;"Bestaand";"Tijdelijk";"De Alliantie/Socius";"Tijdelijk gemengd project voor jongeren, studenten en statushouders";"https://woneninkarmijn.nl/";"POINT(4.8249528,52.3463272)";"POINT(52.3463272,4.8249528)";4.8249528;52.3463272;
149;"Uilenstede (nieuw)";"Uilenstede";"Studenten";707;"Bestaand";"Permanent";"DUWO";"";"";"POINT(4.8761533,52.3208125)";"POINT(52.3208125,4.8761533)";4.8761533;52.3208125;
150;"Uilenstede (oud)";"Uilenstede";"Studenten";2716;"Bestaand";"Permanent";"DUWO";"";"";"POINT(4.8721193,52.321206)";"POINT(52.321206,4.8721193)";4.8721193;52.321206;
151;"Admiraal de Ruijterweg 410";"Admiraal de Ruijterweg";"Jongeren";36;"Bestaand";"Permanent";"Rochedale";"Jongeren en statushouders";"";"POINT(4.8501372,52.3832668)";"POINT(52.3832668,4.8501372)";4.8501372;52.3832668;
152;"Noorderkwartier";"Elzenhagensingel";"Studenten";388;"Plan in ontwikkeling";"Permanent";"Woningstichting de Key";"";"";"POINT(4.9313726,52.4036168)";"POINT(52.4036168,4.9313726)";4.9313726;52.4036168;
153;"Spark Village";"Science Park";"Gemengd";180;"Bestaand";"Permanent";"Rochedale";"";"";"POINT(4.9592521,52.3540515)";"POINT(52.3540515,4.9592521)";4.9592521;52.3540515;
154;"Oostenburg";"Dijksgracht";"Studenten";97;"Plan in ontwikkeling";"Permanent";"Stadgenoot";"";"";"POINT(4.927068,52.3722307)";"POINT(52.3722307,4.927068)";4.927068;52.3722307;
157;"Havikslaan";"Havikslaan";"Jongeren";34;"Plan in ontwikkeling";"Permanent";"Stadgenoot";"";"";"POINT(4.9153886,52.3852608)";"POINT(52.3852608,4.9153886)";4.9153886;52.3852608;
158;"Hoogte Kadijk 401";"Hoogte Kadijk";"Gemengd";116;"Bestaand";"Semipermanent";"Villex";"Mix van jongeren en statushouders";"";"POINT(4.9229534,52.3668866)";"POINT(52.3668866,4.9229534)";4.9229534;52.3668866;
160;"Open Stadscampus InHolland";"Sluisbuurt";"Gemengd";800;"Plan in ontwikkeling";"Permanent";"DUWO";"start bouw 2021";"";"POINT(4.9595293,52.3773338)";"POINT(52.3773338,4.9595293)";4.9595293;52.3773338;
161;"Startblok Zeeburgereiland";"Zuiderzeeweg";"Jongeren";188;"Plan in ontwikkeling";"Tijdelijk";"De Key";"250 tijdelijke woningen voor jongeren. Planning startbouw is Q1 2021. ";"";"POINT(4.9642039,52.3708423)";"POINT(52.3708423,4.9642039)";4.9642039;52.3708423;
162;"Sarphatistraat 92";"Sarphatistraat";"Jongeren";12;"Plan in ontwikkeling";"Permanent";"";"Planning startbouw Q3 2020";"";"POINT(4.910289,52.3614674)";"POINT(52.3614674,4.910289)";4.910289;52.3614674;
163;"Oostenburg Kavel 6";"Oostenburg";"Jongeren";150;"Plan in ontwikkeling";"Permanent";"Stadgenoot";"Planning startbouw Q3 2020";"";"POINT(4.9263375,52.3719073)";"POINT(52.3719073,4.9263375)";4.9263375;52.3719073;
164;"Transformatie Flierbosdreef";"Flierbosdreef 2-12";"Jongeren";175;"Plan in ontwikkeling";"Permanent";"Camelot";"Transformatie van kantoorgebouw naar 400 woningen. 80% zijn sociale huurwoningen, waarvan 175 jongeren woningen";"";"POINT(4.954618,52.3156193)";"POINT(52.3156193,4.954618)";4.954618;52.3156193;
165;"Lieven fase 4";"Voorburgstraat";"Jongeren";40;"Plan in ontwikkeling";"Permanent";"De Key";"Planning oplevering Q4 2019";"https://startinlieven.nl/";"POINT(4.837694,52.3481093)";"POINT(52.3481093,4.837694)";4.837694;52.3481093;
166;"Lieven fase 5";"Rodenrijsstraat";"Studenten";73;"Plan in ontwikkeling";"Permanent";"De Key";"Planning oplevering Q4 2019";"https://startinlieven.nl/";"POINT(4.8376995,52.3479162)";"POINT(52.3479162,4.8376995)";4.8376995;52.3479162;
167;"Lieven fase 6";"Voorburgstraat";"Jongeren";126;"Plan in ontwikkeling";"Permanent";"De Key";"Verwachting oplevering Q4 2021";"";"POINT(4.8383164,52.3482566)";"POINT(52.3482566,4.8383164)";4.8383164;52.3482566;
168;"Lieven fase 8";"Vlaardingenlaan/Overschiestraat";"Gemengd";406;"Plan in ontwikkeling";"Permanent";"De Key";"Verwachte oplevering Q4 2021";"https://startinlieven.nl/";"POINT(4.8391926,52.3473555)";"POINT(52.3473555,4.8391926)";4.8391926;52.3473555;
169;"Houthavens kavel 3c";"Karlskrona-Eiland";"Jongeren";306;"Plan in ontwikkeling";"Permanent";"De Key";"102 Friends-woningen. Startbouw 2020 of 2021";"";"POINT(4.8837929,52.3920774)";"POINT(52.3920774,4.8837929)";4.8837929;52.3920774;
170;"Houthavens kavel 5c";"Meme-Eiland";"Jongeren";210;"Plan in ontwikkeling";"Permanent";"De Key";"70 Friends-woningen. Startbouw 2020 of 2021";"";"POINT(4.8832505,52.393165)";"POINT(52.393165,4.8832505)";4.8832505;52.393165;
171;"Transformatie Diderotstraat";"Diderotstraat/Descartesstraat";"Jongeren";96;"Plan in ontwikkeling";"Permanent";"Stadgenoot";"Transformatie (sloop/nieuwbouw) van oud bedrijfspand naar jongerenwoningen. Planning startbouw Q2 2021";"";"POINT(4.8105158,52.37566)";"POINT(52.37566,4.8105158)";4.8105158;52.37566;
172;"Bijlmerbajes";"H. J. E. Wenckebachweg 48";"Studenten";275;"Plan in ontwikkeling";"Permanent";"De Alliantie";"";"";"POINT(4.9233498,52.339074)";"POINT(52.339074,4.9233498)";4.9233498;52.339074;
173;"August Allabéplein Blok 6 (N)";"Willem Roelofstraat";"Jongeren";198;"Plan in ontwikkeling";"Permanent";"De Key";"Planning startbouw Q4 2020. Studio&#096;s en twee-kamer appartementen";"";"POINT(4.8353671,52.3632216)";"POINT(52.3632216,4.8353671)";4.8353671;52.3632216;
174;"Baak Zuid";"Trompenburgstraat";"Jongeren";35;"Bestaand";"Permanent";"De Alliantie";"35 woningen voor jongeren en statushouders";"https://www.de-alliantie.nl/over-de-alliantie/projecten/amsterdam/baak-zuid/algemeen/";"POINT(4.9063608,52.3440651)";"POINT(52.3440651,4.9063608)";4.9063608;52.3440651;
175;"Startblok Zeeburg";"Zuiderzeeweg";"Studenten";63;"Plan in ontwikkeling";"Tijdelijk";"De Key";"Planning startbouw 2020";"";"POINT(4.9642146,52.3706327)";"POINT(52.3706327,4.9642146)";4.9642146;52.3706327;
176;"H. Cleyndertweg";"H. Cleyndertweg";"Studenten";150;"Bestaand";"Permanent";"De Key";"";"";"POINT(4.9358076,52.4020034)";"POINT(52.4020034,4.9358076)";4.9358076;52.4020034;
177;"Grote Wittenburgstraat";"Grote Wittenburgstraat";"Jongeren";11;"Bestaand";"Permanent";"De Key";"";"";"POINT(4.9192105,52.3702761)";"POINT(52.3702761,4.9192105)";4.9192105;52.3702761;
178;"Het Schouw Middengebied";"Theo Weeversweg";"Jongeren";58;"Bestaand";"Permanent";"Stadgenoot";"58 studio&#096;s in gemengd complex met gezinnen en senioren.";"https://www.stadgenoot.nl/Project/het-schouw-middengebied";"POINT(4.9438483,52.3987521)";"POINT(52.3987521,4.9438483)";4.9438483;52.3987521;
179;"Meeuwenlaan";"Pluivierstraat 11";"Jongeren";5;"Bestaand";"Permanent";"De Key";"";"https://actueel.dekey.nl/2019/08/13/jongerenwoningen-in-vogelpunt/";"POINT(4.9246648,52.3894739)";"POINT(52.3894739,4.9246648)";4.9246648;52.3894739;
180;"Eerste Helmersstraat";"Eerste Helmersstraat";"Gemengd";24;"Bestaand";"Permanent";"";"12 jongerenwoningen en 12 studenten woningen";"";"POINT(4.8644371,52.3606623)";"POINT(52.3606623,4.8644371)";4.8644371;52.3606623;

